timestamp,attempts,successful_attempts,avg_response_time,max_response_time,min_response_time,status
2025-03-28T16:26:25.357476,3,3,1.3,1.37,1.25,SUCCESS
2025-03-28T16:26:25.514167,3,3,1.29,1.45,1.18,SUCCESS
2025-03-28T16:39:52.667224,3,3,1.28,1.47,1.1,SUCCESS
2025-03-28T16:40:37.198801,3,3,1.14,1.21,1.03,SUCCESS
2025-03-28T16:41:30.605373,3,3,1.63,2.68,1.09,SUCCESS
2025-03-28T16:42:49.040441,3,3,1.09,1.31,0.83,SUCCESS
2025-03-28T16:43:25.977577,3,3,1.31,1.46,1.07,SUCCESS
2025-03-28T16:43:27.812572,3,3,1.52,2.07,1.23,SUCCESS
2025-03-28T16:43:28.235822,3,3,1.53,1.79,1.16,SUCCESS
2025-03-28T16:44:25.772624,3,3,1.38,1.62,1.01,SUCCESS
2025-03-28T16:44:26.092196,3,3,1.3,1.52,1.03,SUCCESS
2025-03-28T16:44:26.012836,3,3,1.92,2.13,1.57,SUCCESS
2025-03-28T16:44:29.204723,3,3,1.38,1.53,1.28,SUCCESS
2025-03-28T16:44:29.180601,3,3,1.45,1.79,1.23,SUCCESS
